"type","longitude","latitude"
"Hospital",-9.1519174,38.7404376
"Hospital",-9.1503791,38.7410987
"Hospital",-9.1536147,38.7414696
"Hospital",-9.1524062,38.7394966
"Hospital",-9.153119,38.7391749
"Hospital",-9.1531751,38.7391555
"Hospital",-9.1522535,38.7403197
"Hospital",-9.1515229,38.7405596
"Hospital",-9.1586554,38.7341489
"Hospital",-9.1585865,38.7343467
"Hospital",-9.1749451,38.7467533
"Hospital",-9.175985,38.7468341
"Hospital",-9.1754577,38.746815
"Hospital",-9.1760595,38.7456919
"Hospital",-9.1756484,38.7468414
"Hospital",-9.1759891,38.7467615
"Hospital",-9.1760422,38.7460354
"Hospital",-9.1759515,38.7471397
"Hospital",-9.1455282,38.7134615
"Hospital",-9.1457801,38.7134756
"Hospital",-9.1455438,38.7135165
"Hospital",-9.1457823,38.7135445
"Hospital",-9.1457984,38.713601
"Hospital",-9.1456525,38.7136263
"Hospital",-9.1457329,38.7136728
"Hospital",-9.1456689,38.7136839
"Hospital",-9.1459324,38.7137393
"Hospital",-9.145748,38.7137261
"Hospital",-9.1457821,38.7138459
"Hospital",-9.1458797,38.7137484
"Hospital",-9.1459015,38.7138252
"Hospital",-9.1458074,38.760862
"Hospital",-9.151215,38.7124353
"Hospital",-9.1511981,38.7125682
"Hospital",-9.1507064,38.712456
"Hospital",-9.1507201,38.712742
"Hospital",-9.150648,38.7127462
"Hospital",-9.1509895,38.712726
"Hospital",-9.1509038,38.7127311
"Hospital",-9.1683979,38.7049396
"Hospital",-9.1688028,38.7049166
"Hospital",-9.1690135,38.7055123
"Hospital",-9.1691343,38.7049851
"Hospital",-9.1689471,38.7049076
"Hospital",-9.1690166,38.7050229
"Hospital",-9.1690698,38.7056819
"Hospital",-9.169396,38.7054179
"Hospital",-9.1741445,38.7028411
"Hospital",-9.1740202,38.7028464
"Hospital",-9.1738578,38.7028751
"Hospital",-9.1746139,38.7029384
"Hospital",-9.1733969,38.7030541
"Hospital",-9.1728857,38.7032172
"Hospital",-9.1743625,38.7037878
"Hospital",-9.1716949,38.7035097
"Hospital",-9.1684047,38.7050267
"Hospital",-9.1684206,38.7051731
"Hospital",-9.1685403,38.7051683
"Hospital",-9.1688972,38.7054677
"Hospital",-9.1688956,38.7054373
"Hospital",-9.1689167,38.705533
"Hospital",-9.16891,38.7054708
"Hospital",-9.1685683,38.7054459
"Hospital",-9.1689246,38.7056055
"Hospital",-9.1685691,38.7056252
"Hospital",-9.1685846,38.7058085
"Hospital",-9.2213725,38.6933294
"Hospital",-9.1471493,38.7324218
"Hospital",-9.147137,38.7324173
"Hospital",-9.1469286,38.7327987
"Hospital",-9.1745163,38.7688481
"Hospital",-9.145595,38.7233482
"Hospital",-9.1451191,38.7233455
"Hospital",-9.145121,38.7233608
"Hospital",-9.1451599,38.7233637
"Hospital",-9.1448268,38.7233631
"Hospital",-9.1442141,38.7233969
"Hospital",-9.1439947,38.7234093
"Hospital",-9.1456092,38.7235919
"Hospital",-9.1456379,38.7235905
"Hospital",-9.145676,38.7237338
"Hospital",-9.1457085,38.7238557
"Hospital",-9.1456087,38.723871
"Hospital",-9.1456136,38.7239379
"Hospital",-9.1456583,38.7240471
"Hospital",-9.145476,38.7240815
"Hospital",-9.1437462,38.7241612
"Hospital",-9.1440608,38.7242089
"Hospital",-9.1441519,38.7242317
"Hospital",-9.1455368,38.7243423
"Hospital",-9.1454117,38.724375
"Hospital",-9.1444859,38.7243836
"Hospital",-9.1452249,38.7244249
"Hospital",-9.1447723,38.7245873
"Hospital",-9.1146599,38.7678498
"Hospital",-9.1142631,38.7679761
"Hospital",-9.1142275,38.7682199
"Hospital",-9.1144711,38.7684551
"Hospital",-9.1583523,38.7394143
"Hospital",-9.174861,38.7566926
"Hospital",-9.1142833,38.767944
"Hospital",-9.1383695,38.7275837
"Hospital",-9.1381239,38.7277987
"Hospital",-9.1383473,38.7277657
"Hospital",-9.139353,38.7297634
"Hospital",-9.1770351,38.7655791
"Hospital",-9.1770324,38.7657423
"Hospital",-9.1768825,38.765848
"Hospital",-9.1769384,38.7655115
"Hospital",-9.1768738,38.7655125
"Hospital",-9.1768847,38.7655123
"Hospital",-9.2230377,38.6926389
"Hospital",-9.2224312,38.6927864
"Hospital",-9.1474883,38.7322309
"Hospital",-9.147983,38.7324146
"Hospital",-9.1469022,38.7326867
"Hospital",-9.1469344,38.732823
"Hospital",-9.1475882,38.7331062
"Hospital",-9.1366502,38.7172129
"Hospital",-9.1373618,38.7190604
"Hospital",-9.1655516,38.7403831
"Hospital",-9.141944,38.7085192
"Hospital",-9.151141,38.7428199
"Hospital",-9.1624551,38.7661283
"Hospital",-9.1614806,38.7662595
"Hospital",-9.22218,38.6928642
"Hospital",-9.2217411,38.6930393
"Hospital",-9.1789785,38.7495109
"Hospital",-9.1509736,38.7124444
"Hospital",-9.1470936,38.7324882
"Hospital",-9.1471186,38.7323662
"Hospital",-9.1469917,38.7325872
"Hospital",-9.1470491,38.7325716
"Hospital",-9.1469696,38.7325888
"Hospital",-9.1471005,38.7323599
"Hospital",-9.1471343,38.7323779
"Hospital",-9.1473551,38.7321814
"Hospital",-9.1474674,38.7322231
"Hospital",-9.1473936,38.7321957
"Hospital",-9.1470644,38.7325641
"Hospital",-9.1470503,38.732559
"Hospital",-9.1884045,38.6985362
"Hospital",-9.1891006,38.6994317
"Hospital",-9.189249,38.6996158
"Hospital",-9.1888304,38.6990841
"Hospital",-9.1872004,38.6989631
"Hospital",-9.1870255,38.6990015
"Hospital",-9.1869527,38.6988792
"Hospital",-9.1872535,38.6989891
"Hospital",-9.1872415,38.6989587
"Hospital",-9.1873574,38.6989309
"Hospital",-9.1872144,38.6989985
"Hospital",-9.1873441,38.6988972
"Hospital",-9.1874786,38.6988649
"Hospital",-9.1875924,38.6988475
"Hospital",-9.1874822,38.6988739
"Hospital",-9.1876253,38.6987684
"Hospital",-9.1875668,38.6987824
"Hospital",-9.1876085,38.6987259
"Hospital",-9.1888728,38.6998192
"Hospital",-9.1886315,38.6999355
"Hospital",-9.1886812,38.6999983
"Hospital",-9.188486,38.700421
"Hospital",-9.1887218,38.7000486
"Hospital",-9.1887579,38.7000944
"Hospital",-9.1887224,38.7001115
"Hospital",-9.1888208,38.7002359
"Hospital",-9.1884657,38.7004308
"Hospital",-9.1869637,38.6995267
"Hospital",-9.1869004,38.6994396
"Hospital",-9.186903,38.6995535
"Hospital",-9.1869272,38.6995869
"Hospital",-9.1867456,38.6992274
